Name,ID,Identifier,Type
Avery Dennison,2227,grid.471121.0,GRID
Avery Dennison,2227,\bavery\s+dennison\s+corporation\b|\bavery\s+dennison\s\W\b|\bavery\s+dennison\s+corp\b,Regex
Avery Dennison,2227,4295903492,PermID
Avery Dennison,2227,https://www.linkedin.com/company/avery-dennison,LinkedIn
Avery Dennison,2227,https://www.crunchbase.com/organization/avery-dennison,Crunchbase URL
Avery Dennison,2227,a3ab8d34-fe25-d08b-4981-1e4880fd3abb,Crunchbase UUID
J.M. Smucker,2378,756887,BGOV
J.M. Smucker,2378,grid.431115.3,GRID
J.M. Smucker,2378,\bthe\s+j.?m.?\s+smucker\s+company\b|\bj.?\s+m.?\s+smucker\s+company\b|\bj.?\s+m.?\s+smucker\b|\bsmucker\s+and\s+smucker.?s\b|(^|\^)jm\s+smucker\b,Regex
J.M. Smucker,2378,4295908680,PermID
J.M. Smucker,2378,https://www.linkedin.com/company/the-jm-smucker-co,LinkedIn
J.M. Smucker,2378,https://www.crunchbase.com/organization/jm-smucker-company,Crunchbase URL
J.M. Smucker,2378,97ff7b6a-4627-24b2-1a0a-8b53f3a0321f,Crunchbase UUID
Welltower,2538,10563374,BGOV
Welltower,2538,\bhealth\s+care\s+reit\b|\bwelltower\b|\bwelltower\s+inc.?\b,Regex
Welltower,2538,4295904152,PermID
Welltower,2538,https://www.linkedin.com/company/welltower,LinkedIn
Welltower,2538,https://www.crunchbase.com/organization/welltower-inc,Crunchbase URL
Welltower,2538,80cf7348-859b-1e64-4948-037d63db315b,Crunchbase UUID
Extra Space Storage,2314,10968711,BGOV
Extra Space Storage,2314,10628462,BGOV
Extra Space Storage,2314,10572511,BGOV
Extra Space Storage,2314,10668770,BGOV
Extra Space Storage,2314,10717801,BGOV
Extra Space Storage,2314,10676317,BGOV
Extra Space Storage,2314,\bextra\s+space\s+storage\s+inc.?\b|\bextra\s+space\s+storage\b,Regex
Extra Space Storage,2314,4295902564,PermID
Extra Space Storage,2314,https://www.linkedin.com/company/extraspace,LinkedIn
