Name,ID,Alias,Language
Megvii,161,megvii technology,en
Megvii,161,megvii inc,en
Hologic,2356,"hologic, inc.",en
Hologic,2356,hologic inc,en
Hologic,2356,"hologic, inc",en
Citi,809,Citigroup.com,en
Citi,809,"Citigroup, Inc.",en
Appier,26,appier.com,en
Appier,26,appier inc.,en
Regency Centers Corporation,2474,regency centers corp,en
Regency Centers Corporation,2474,regency centers,en
Corpay,6950,Corpay,en
Corpay,6950,Corpay Inc,en
Corpay,6950,Fleetcor,en
Corpay,6950,FLEETCOR Technologies,en
Apple,27,"apple, inc.",en
Apple,27,apple inc.,en
Apple,27,apple inc,en
Deepblue Technology,67,"DeepBlue Technology （Shanghai） Co.,Ltd",en
Honda,795,"Honda modor co, ltd",en
Regions Financial,2475,regions financial,en
Regions Financial,2475,regions financial corporation,en
Regions Financial,2475,regions bank,en
CoStar Group,6951,CoStar Group Inc.,en
Applied Materials,335,applied materials inc,en
Applied Materials,335,"applied materials, inc.",en
Mentor Graphics,570,mentor graphics corp,en
Mentor Graphics,570,mentor,en
Ulta Beauty,2516,"ulta beauty, inc.",en
Dayforce,6952,Ceridian,en
Deepglint,69,beijing deepglint technology limited,en
Deepglint,69,geling shentong,en
Deepglint,69,deep glint,en
Deepglint,69,"beijing deepglint technology co., ltd.",en
Honeywell International,846,alliedsignal,en
Honeywell International,846,honeywell,en
Honeywell International,846,honeywell international,en
Merck,1492,Merck & Co.,en
Merck,1492,merck sharp & dohme,en
Merck,1492,MSD,en
Coca-Cola,2096,The Coca Cola Company,en
Coca-Cola,2096,Coke,en
Deckers Brands,6953,Deckers Brands,en
Deckers Brands,6953,Deckers Outdoor Corporation,en
Republic Services,2476,"republic services, inc.",en
Republic Services,2476,republic services ,en
Synopsys,845,Synopsys,en
Cognizant,806,Cognizant Technology Solutions,en
Cognizant,806,Cognizant Technology Solutions U.S. Corporation,en
T-Mobile,831,"T-MOBILE USA, INC.",en
T-Mobile,831,"T-Mobile US, Inc.",en
EQT,6955,Equitable Resources,en
Horizon Robotics,110,beijing horizon robotics technology development co ltd,en
Horizon Robotics,110,"horizon robotics, inc.",en
Resmed,2477,resmed corp.,en
Resmed,2477,resmed inc.,en
Deepmind,414,"deepmind, google uk",en
Deepmind,414,deepmind technologies ltd,en
Deepmind,414,deepmind technologies limited,en
Deepmind,414,google deepmind,en
Hormel Foods,2357,hormel foods corporation,en
Hormel Foods,2357,hormel foods,en
Under Armour,2518,under armour.,en
Under Armour,2518,"under armour®, inc.",en
Under Armour,2518,"under armour, inc.",en
Fair Isaac,6957,FICO,en
Fair Isaac,6957,Fair Isaac Corporation,en
Fair Isaac,6957,"Fair, Isaac and Company",en
Aptiv,336,aptiv plc,en
Aptiv,336,delphi automotive,en
Host Hotels & Resorts,2358,"host hotels & resorts, inc.",en
Host Hotels & Resorts,2358,"host hotels & resorts, l.p.",en
Union Pacific,2519,union pacific corporation,en
Union Pacific,2519,union pacific railroad,en
Union Pacific,2519,union pacific railroad company,en
Union Pacific,2519,union pacific,en
Franklin Templeton,6959,Franklin Resources,en
Mettler Toledo,2413,mettler-toledo international inc,en
Mettler Toledo,2413,mettler-toledo international inc.,en
ConocoPhillips,2029, Phillips Petroleum Company,en
ConocoPhillips,2029,Phillips 66,en
ConocoPhillips,2029, Phillips Petroleum Company,en
GE Aerospace,6960,General Electric,en
MGM Resorts International,2414,mgm resorts,en
MGM Resorts International,2414,mgm mirage ,en
GE Vernova,6962,"GE Vernova, Inc.",en
Arista Networks,2220,"arista networks, inc.",en
Arista Networks,2220,arista,en
Arista Networks,2220,arastra,en
Howmet Aerospace,2359,howmet aerospace inc.,en
Howmet Aerospace,2359,howmet corp.,en
Microchip Technology,2415,microchip,en
Microchip Technology,2415,microchip technology inc.,en
United Parcel Service,1875,"united parcel service of america, inc.",en
United Parcel Service,1875,ups,en
United Parcel Service,1875,"united parcel service, inc.",en
United Parcel Service,1875,united parcel service,en
Costco Wholesale,1805,Costco Wholesale Corporation,en
Costco Wholesale,1805,Costco,en
Teradyne,3092,"Teradyne, Inc.",en
Arm,338,arm ltd,en
Arm,338,arm limited,en
Arm,338,arm holdings,en
Deloitte Touche Tohmatsu,804,dttl,en
Deloitte Touche Tohmatsu,804,deloitte,en
Deloitte Touche Tohmatsu,804,deloitte touche tohmatsu limited,en
Deloitte Touche Tohmatsu,804,deloitte touche tohmatsu ltd,en
Huawei,112,"huawei technologies co., ltd.",en
Huawei,112,huawei technologies,en
Microsoft,163,microsoft corporation,en
Microsoft,163,microsoft corp,en
United Rentals,2521,united rentals inc,en
United Rentals,2521,united rentals,en
Coterra,3101,"Coterra Energy, Inc.",en
Coterra,3101,Coterra Energy Inc.,en
Coterra,3101,Coterra Energy,en
Generac,6964,Generac,en
Generac,6964,"Generac Holdings, Inc.",en
UnitedHealth Group,818,unitedhealth group,en
UnitedHealth Group,818,unitedhealth group inc.,en
Home Depot,836,"Home Depot Product Authority, LLC",en
Universal Health Services,2522,universal health services inc,en
Universal Health Services,2522,universal health services,en
Universal Health Services,2522,"universal health services, inc. (uhs)",en
Universal Health Services,2522,uhs,en
Invitation Homes,6966,Invitation Homes,en
Invitation Homes,6966,Invitation Homes Inc,en
Mid-America Apartments,2416,mid-america apartment communities,en
Mid-America Apartments,2416,maa,en
Mid-America Apartments,2416,"mid-america apartment communities, inc.",en
Mid-America Apartments,2416,mid-america apartment communities inc,en
Unum Group,2523,unum insurance,en
Unum Group,2523,unum,en
Humana,1913,"humana, inc",en
Humana,1913,humana,en
Humana,1913,"humana, inc.",en
Robert Half International,2478,robert half,en
Robert Half International,2478,robert half international inc.,en
TJX,2027,"The TJX Companies, Inc.",en
Kenvue,6968,Kenvue Inc,en
Dentsply Sirona,2282,dentsply sirona inc,en
Dentsply Sirona,2282,dentsply international,en
Huntington Bancshares,2360,huntington bancshares incorporated,en
Huntington Bancshares,2360,huntington national bank,en
Huntington Ingalls Industries,2361,"huntington ingalls industries, inc.",en
Huntington Ingalls Industries,2361,hii,en
Huntington Ingalls Industries,2361,"huntington ingalls industries, inc. ",en
Huntington Ingalls Industries,2361,huntington ingalls industries,en
Lululemon Athletica,6970,Lululemon,en
Lululemon Athletica,6970,Lululemon Athletica Inc,en
Arthur J. Gallagher & Co.,2221,gallagher,en
Arthur J. Gallagher & Co.,2221,arthur j. gallagher,en
Arthur J. Gallagher & Co.,2221,ajg,en
Roche,663,f. hoffmann-la roche ltd,en
Roche,663,f hoffmann la roche ag,en
CVS Health,1796,CVS/pharmacy,en
CVS Health,1796,CVS Health Corporation,en
CVS Health,1796,CVS,en
Match Group,6971,okcupid,en
Match Group,6971,hinge,en
Match Group,6971,match.com,en
Match Group,6971,plenty of fish,en
Match Group,6971,tinder,en
Match Group,6971,meetic,en
Mininglamp,166,mininglamp tech,en
Mininglamp,166,mingluo technology,en
Mininglamp,166,beijing mininglamp software system co ltd,en
Mininglamp,166,mininglamp technology,en
Mininglamp,166,mininglamp,en
Rockwell Automation,2479,rockwell automation inc,en
Rockwell Automation,2479,ra,en
Rockwell Automation,2479,"rockwell automation, inc.",en
Rockwell Automation,2479,rockwell automation,en
V.F. Corporation,2524,vf corp.,en
V.F. Corporation,2524,vf corporation,en
Monolithic Power Systems,6973,Chengdu Monolithic Power Systems,en
Devon Energy,2283,devon energy corporation,en
Devon Energy,2283,devon energy corp,en
Rollins,2480,rollins inc,en
Rollins,2480,rollins,en
Rollins,2480,"rollins, inc.",en
Valero Energy,1821,valero,en
Valero Energy,1821,valero refining,en
Valero Energy,1821,valero energy corporation,en
Valero Energy,1821,valero energy,en
Valero Energy,1821,valero producing,en
ON Semiconductor,6975,Onsemi,en
ON Semiconductor,6975,ON Semiconductor Corporation,en
Assurant,2222,"assurant, inc.",en
Mitsubishi,786,三菱グループ,en
Vanguard,743,vanguard group inc,en
Vanguard,743,the vanguard group,en
Vanguard,743,"the vanguard group, inc",en
Deere,2037,John Deere,en
Deere,2037,John Deere GmbH & Co. KG,en
Deere,2037,Deere & Company,en
PG&E Corporation,6976,Pacific Gas and Electric Company,en
IBM,115,international business machines corp,en
IBM,115,international business machines corporation,en
IBM,115,international business machines,en
IBM,115,computing tabulating recording,en
Delta Air Lines,1981,"Delta Air Lines, Inc.",en
Travelers Companies,2111,"The Travelers Companies, Inc.",en
Astrazeneca,341,astrazeneca plc,en
Roper Technologies,2481,roper,en
Roper Technologies,2481,"roper industries, inc.",en
AT&T,805,at&t inc.,en
AT&T,805,at&t,en
Diamondback Energy,2284,diamondback energy inc,en
Diamondback Energy,2284,"diamondback energy, inc.",en
Diamondback Energy,2284,diamondback,en
Ross Stores,2482,ross,en
Ross Stores,2482,"ross stores, inc.",en
Tyler Technologies,3093,"Tyler Technologies, Inc.",en
Solventum,6979,Solventum Corporation,en
Didi Chuxing,76,didi chuxing technology co.,en
Didi Chuxing,76,北京小桔科技有限公司,en
Didi Chuxing,76,didi chuxing technology co ltd,en
Didi Chuxing,76,didi chuxing,en
Didi Chuxing,76,"Beijing DiDi Infinity Technology and Development Co., Ltd.",en
Didi Chuxing,76,beijing xiaoju technology co.,en
Royal Caribbean Cruises,2483,royal caribbean cruises,en
Royal Caribbean Cruises,2483,royal caribbean group,en
Tyson Foods,2018,"Tyson Foods, Inc.",en
Steel Dynamics,6980,"Steel Dynamics, Inc (SDI)",en
Steel Dynamics,6980,"Steel Dynamics, Inc",en
Atmos Energy,2223,atmos energy corp,en
Atmos Energy,2223,atmos energy marketing llc.,en
Atmos Energy,2223,atmos energy corporation,en
Atmos Energy,2223,atmos energy marketing,en
Royal Dutch Shell,682,shell global,en
Royal Dutch Shell,682,royal dutch shell,en
Royal Dutch Shell,682,the royal dutch petroleum company,en
Ventas,2526,ventas,en
Ventas,2526,"ventas, inc.",en
U.S. Bancorp,2175,U.S. Bancorp Fund Services,en
U.S. Bancorp,2175,U.S. Bancorp Asset Management,en
Supermicro,6981,"Super Micro Computer, Inc.",en
Digital Realty Trust,2285,"digital realty trust, inc.",en
Digital Realty Trust,2285,digital realty,en
Deutsche Telekom,1390,Deutsche Telekom AG,en
Targa Resources,6982,Targa Resources Corp,en
Targa Resources,6982,Targa Resources,en
DexCom,3088,"DexCom, Inc.",en
Idex Corporation,2362,idex,en
Idex Corporation,2362,idex corp,en
Verisign,2527,verisign,en
Discover Financial Services,835,DFS,en
Dish Network,2288,dish network l.l.c.,en
Dish Network,2288,dish network corp,en
Dish Network,2288,dish network corporation,en
Dish Network,2288,dish,en
Idexx Laboratories,2363,"idexx laboratories, inc. ",en
Idexx Laboratories,2363,idexx,en
Idexx Laboratories,2363,idexx laboratories inc,en
Idexx Laboratories,2363,"idexx laboratories, inc.",en
Verisk Analytics,2528,verisk analytics®,en
Verisk Analytics,2528,verisk,en
Verisk Analytics,2528,"verisk analytics, inc. (verisk)",en
Verisk Analytics,2528,iso,en
Verisk Analytics,2528,"verisk analytics, inc.",en
Disney,1383,Walt Disney Co Ltd,en
Disney,1383,The Walt Disney Company,en
Vici Properties,6985,Vici Properties,en
Vici Properties,6985,Vici Properties Inc.,en
Mohawk Industries,2417,"mohawk industries, inc.",en
Mohawk Industries,2417,mohawk industries inc,en
Mohawk Industries,2417,mohawk,en
S&P Global,668,mcgraw hill financial,en
S&P Global,668,s&p global inc.,en
Dollar General,2178,Dollar General Corporation,en
United Airlines,2009,"United Airlines, Inc.",en
United Airlines,2009,"United Continental Holdings, Inc.",en
Molson Coors Brewing Company,2418,molson coors beverage co,en
Molson Coors Brewing Company,2418,molson coors,en
Verizon Media,746,verizon media llc,en
Domino's Pizza,3089,"Domino's Pizza, Inc.",en
Autodesk,345,"autodesk, inc.",en
Autodesk,345,autodesk inc,en
DJI,78,"Shenzhen dji technology co., ltd.",en
DJI,78,dji innovations,en
DJI,78,dji international co ltd,en
IFlyTek,122,"keda xunfei co., ltd.",en
IFlyTek,122,iflytek co ltd,en
IFlyTek,122,anhui ustc iflytek science and technology co. ltd.,en
Automatic Data Processing,2224,adp,en
Automatic Data Processing,2224,"automatic data processing, inc.",en
DuPont,1780,"DuPont de Nemours, Inc.",en
DuPont,1780,DuPont Alumni Founded Companies,en
Illinois Tool Works,2365,itw,en
Illinois Tool Works,2365,illinois tool works inc.,en
Salesforce,219,Salesforce Alumni Founded Companies,en
Salesforce,219,salesforce.com inc.,en
Salesforce,219,salesforce.com,en
Salesforce,219,salesforce ventures llc,en
Salesforce,219,Salesforce Portfolio Companies,en
Illumina,501,illumina inc,en
Illumina,501,"illumina, inc.",en
Monster Beverage,2419,monster energy company,en
Monster Beverage,2419,monster beverage corporation,en
Monster Beverage,2419,monster beverage corp,en
Monster Beverage,2419,monster energy,en
Vertex Pharmaceuticals,2529,vertex pharmaceuticals incorporated,en
Vertex Pharmaceuticals,2529,vertex pharmaceuticals,en
Moody's,2420,moody's,en
Moody's,2420,moody's investors service,en
Moody's,2420,"moody’s investors service, inc.",en
AutoZone,2225,"autozone, inc.",en
AutoZone,2225,autozone,en
Dollar Tree,2289,"dollar tree, inc",en
Dollar Tree,2289,"dollar tree, inc.",en
Dollar Tree,2289,dollar tree inc,en
Avalonbay Communities,2226,avalonbay,en
Avalonbay Communities,2226,"avalonbay, inc.",en
Avalonbay Communities,2226,"avalonbay, inc",en
Dominion Energy,2290,dominion energy inc,en
Dominion Energy,2290,dominion energy technologies,en
Samsung,671,samsung electronics co ltd,en
Samsung,671,samsung electronics,en
Samsung,671,"samsung electronics co., ltd.",en
Elevance Health,1831," Elevance Health, Inc.",en
Elevance Health,1831,"Anthem, Inc.",en
Elevance Health,1831,Anthem,en
Vista Equity Partners,3159,"Vista Equity Partners Management, LLC",en
Avery Dennison,2227,avery dennison corporation,en
Avery Dennison,2227,avery dennison,en
Morgan Stanley,585,morgan stanley & co.,en
Elliott Management,3158,Elliot Management Corporation,en
Elliott Management,3158,Elliott Investment Management,en
Elliott Management,3158,Elliott Investment Management L.P.,en
Volkswagen,1037,Volkswagen AG,en
Dover Corporation,2291,dover corp,en
Dover Corporation,2291,dover,en
Motorola Solutions,2422,"motorola solutions, inc. (nyse: msi)",en
Motorola Solutions,2422,"motorola solutions, inc.",en
Motorola Solutions,2422,motorola,en
Motorola Solutions,2422,motorola solutions inc,en
Motorola Solutions,2422,"motorola mobility holdings, inc.",en
Motorola Solutions,2422,motorola inc.,en
Motorola Solutions,2422,motorola solutions,en
Vontier,3098,Vontier Corporation,en
Dow,2292,dow chemical co,en
Dow,2292,Dow Jones Industrial Average,en
Dow,2292,dow,en
Dow,2292,the dow company,en
Incyte,2366,incyte corporation,en
Incyte,2366,incyte corp,en
Walgreens Boots Alliance,1809,WBA,en
Walgreens Boots Alliance,1809,"WALGREENS BOOTS ALLIANCE, INC.",en
Warner Bros. Discovery,3162,"Warner Bros. Discovery, Inc.",en
Baidu,37,baidu inc,en
SBA Communications,2484,sba communications corp,en
SBA Communications,2484,sba,en
SBA Communications,2484,sba communications corporation,en
Visa,2190,visa inc.,en
Visa,2190,"visa, inc",en
Visa,2190,"visa, inc.",en
Enphase Energy,3161,Enphase,en
Enphase Energy,3161,Enphase Energy Inc,en
Enphase Energy,3161,"Enphase Energy, Inc.",en
WellCare,3102,"WellCare Health Plans, Inc.",en
Dropbox,423,"dropbox, inc.",en
Dropbox,423,dropbox inc,en
Ingersoll Rand,2367,trane technologies,en
Ingersoll Rand,2367,american standard companies,en
Ingersoll Rand,2367,"ingersoll rand, inc.",en
Ingersoll Rand,2367,the trane company,en
Ingersoll Rand,2367,trane,en
Scale AI,220,"scale ai, inc.",en
Wells Fargo,807,WELLS FARGO BANK NA,en
Wells Fargo,807,Wells Fargo & Co,en
Wells Fargo,807,Wells Fargo & Company,en
DTE Energy,2293,dte energy,en
DTE Energy,2293,dte,en
Msci,2423,msci,en
Msci,2423,msci barra,en
Msci,2423,morgan stanley capital international,en
Duke Energy,2294,duke energy corp,en
Duke Energy,2294,duke energy corporation,en
Schlumberger,676,schlumberger nv,en
Schlumberger,676,slb global,en
Schlumberger,676,schlumberger limited,en
Ball,2228,ball corporation,en
Etsy,3090,"Etsy, Inc.",en
Baxter International,2230,"baxter international, inc.",en
Baxter International,2230,baxter,en
Baxter International,2230,baxter international,en
Duolingo,424,"duolingo, inc.",en
Duolingo,424,duolingo inc,en
Duolingo,424,"duolingo, inc",en
Exelon,2049,Exelon Corp,en
Exelon,2049,Exelon Corporation,en
DXC Technology,2296,dxc technology co,en
DXC Technology,2296,computer sciences corporation,en
Vornado Realty Trust,2531,vornado,en
Vornado Realty Trust,2531,vornado realty l.p.,en
Expedia Group,822,"Expedia, Inc",en
Expedia Group,822,Expedia,en
ExxonMobil,1385,XOM,en
ExxonMobil,1385,Exxon Mobil Corporation.,en
Becton Dickinson,2231,"becton, dickinson and co.",en
Becton Dickinson,2231,"becton, dickinson and company",en
Seagate Technology,2485,seagate technology llc,en
Seagate Technology,2485,seagate,en
Seagate Technology,2485,seagate technology plc,en
Seagate Technology,2485,seagate technology plc.,en
Sealed Air,2486,sealed air corp,en
Sealed Air,2486,sealed air corporation,en
Sealed Air,2486,SEE,en
Eastman Chemical,2298,eastman chemical co,en
Eastman Chemical,2298,eastman chemical company,en
Eastman Chemical,2298,eastman,en
Vulcan Materials,2532,vulcan materials company,en
Vulcan Materials,2532,vulcan materials co,en
Vulcan Materials,2532,vulcan,en
Eaton Corporation,427,eaton corporation inc,en
Eaton Corporation,427,eaton corporation,en
Eaton Corporation,427,eaton corporation plc.,en
Eaton Corporation,427,eaton corp,en
Eaton Corporation,427,eaton,en
Intel,127,N M Electronics,en
Intel,127,intel corp,en
Intel,127,integrated and electronics,en
Intel,127,intel corporation,en
Nasdaq,2425,nasdaq,en
W. R. Berkley Corporation,2533,w. r. berkley,en
W. R. Berkley Corporation,2533,w. r. berkley corp,en
W. R. Berkley Corporation,2533,berkley,en
Wabtec Corporation,2534,westinghouse air brake technologies corporation (wabtec),en
Wabtec Corporation,2534,wabtec corp,en
Wabtec Corporation,2534,wabtec,en
Ebay,429,ebay inc,en
Ebay,429,ebay inc.,en
Walmart,793,"Walmart, Inc.",en
Walmart,793,"Walmart, Inc",en
Walmart,793,Walmart Inc,en
Ecolab,2299,ecolab,en
Ecolab,2299,economics laboratory,en
Sempra Energy,2487,sempra energy®,en
Sempra Energy,2487,sempra energy (nyse: sre),en
Sempra Energy,2487,aig trading,en
Edison International,2300,edison international,en
Waste Management,2535,"wm intellectual property holdings, l.l.c.",en
Waste Management,2535,waste management,en
Edwards Lifesciences,2301,edwards lifesciences corporation,en
Intercontinental Exchange,2368,"intercontinental exchange, inc.",en
Intercontinental Exchange,2368,intercontinentalexchange,en
NEC,1126,nec global,en
NEC,1126,western electric,en
Waters Corporation,2536,waters corp,en
Waters Corporation,2536,waters,en
Waters Corporation,2536,waters division,en
Fujitsu,1125,Fujitsu Limited,en
Ehang,83,guangzhou ehang intelligent technology co. ltd,en
Ehang,83,ehang inc,en
Sensetime,223,beijing sensetime technology development co ltd,en
Sensetime,223,sensetime group ltd.,en
Waymo,762,waymo llc,en
Waymo,762,google self-driving car project,en
Waymo,762,the google car,en
Waymo,762,waymo - google self-driving car project,en
International Paper,2369,international paper co,en
Netapp,2427,net app,en
Netapp,2427,"netapp, inc.",en
Netflix,176,netflix inc,en
Netflix,176,netflix com inc,en
Netflix,176,"netflix, inc.",en
Biogen,1536,biogen inc.,en
Electronic Arts,1671,Electronic Arts Inc.,en
Interpublic Group Of Companies,2370,interpublic,en
Interpublic Group Of Companies,2370,interpublic group,en
Interpublic Group Of Companies,2370,ipg,en
Interpublic Group Of Companies,2370,interpublic group of companies inc,en
Interpublic Group Of Companies,2370,"the interpublic group of companies, inc.",en
WEC Energy Group,2537,wec energy group inc.,en
International Flavors & Fragrances,2371,iff,en
International Flavors & Fragrances,2371,"international flavors & fragrances, inc.",en
Newell Brands,2428,newell rubbermaid,en
Newell Brands,2428,newell company,en
Newell Brands,2428,newell brands inc.,en
Bitmain Technologies,43,bitmain,en
Bitmain Technologies,43,bitmain technologies holding company,en
Bitmain Technologies,43,bite dalu,en
Bitmain Technologies,43,bitmain technologies inc.,en
Newmont Corporation,2429,newmont,en
Newmont Corporation,2429,newmont goldcorp,en
Newmont Corporation,2429,newmont mining corporation,en
Newmont Corporation,2429,newmont mining,en
Intuit,514,intuit inc.,en
Intuit,514,"intuit, inc.",en
Intuit,514,"intuit, inc",en
News Corporation,2430,news corporation,en
News Corporation,2430,news corp,en
News Corporation,2430,news corp.,en
Welltower,2538,health care reit,en
Welltower,2538,welltower,en
Eli Lilly And Company,434,eli lilly and co,en
Western Digital,2539,wdc,en
Western Digital,2539,western digital corp,en
Western Digital,2539,western digital corporation,en
Western Digital,2539,"western digital technologies, inc.",en
Intuitive Surgical,1516,intuitive,en
Western Union,2540,western union,en
Elsevier,436,reed elsevier,en
Elsevier,436,elsevier bv,en
Elsevier,436,elsevier ltd,en
Nextera Energy,2432,"nextera energy, inc.",en
Sherwin-Williams,2488,sherwin-williams company,en
Sherwin-Williams,2488,sherwin-williams co,en
Sherwin-Williams,2488,the sherwin-williams company,en
Blackrock,358,blackrock inc,en
Blackrock,358,blackrock brasil,en
Blackrock,358,"blackrock, inc.",en
Blackrock,358,blackrock capital investment corporation,en
Emerson Electric Company,2302,emerson electric,en
Emerson Electric Company,2302,emerson electric co,en
Emerson Electric Company,2302,emerson,en
Invesco,2372,invesco,en
Nike,830,"Nike, Inc",en
Nike,830,"Nike, Inc.",en
