Name,ID,Ticker,Exchange
Travelers Companies,2111,TRV,NYSE
Macy's,2176,M,NYSE
Warner Bros. Discovery,3162,WBD,NASDAQ
SL Green Realty,2491,SLG,NYSE
SL Green Realty,2491,SLG.PRI,NYSE
SL Green Realty,2491,SLG.PRI,NYSE
News Corporation,2430,NWSA,NASDAQ
MetLife,1883,MET,NYSE
MetLife,1883,MET PR A,NYSE
MetLife,1883,MET PR E,NYSE
MetLife,1883,MET PR F,NYSE
Consolidated Edison,2269,ED,NYSE
Blackrock,358,BLK,NYSE
Interpublic Group Of Companies,2370,IPG,NYSE
Hess Corporation,2353,HES,NYSE
MarketAxess,2404,MKTX,NASDAQ
Take-Two Interactive,2503,TTWO,NASDAQ
Ralph Lauren Corporation,2471,RL,NYSE
Etsy,3090,ETSY,NASDAQ
The Bank Of New York Mellon,2229,BK,NYSE
Altria Group,2206,MO,NYSE
Carmax,2245,KMX,NYSE
Dominion Energy,2290,D,NYSE
Supermicro,6981,SMCI,NASDAQ
Cisco Systems,383,4333,HKG
Cisco Systems,383,CSCO,NASDAQ
Ebay,429,EBAY,NASDAQ
Cadence Design Systems,2241,CDNS,NASDAQ
Align Technology,2201,ALGN,NASDAQ
Adobe,6,ADBE,NASDAQ
PayPal,195,PYPL,NASDAQ
Broadcom,2236,AVGO,NASDAQ
Broadcom,2236,AVGOP,NASDAQ
Nio,596,NIO,NYSE
Tencent,245,700,HKG
Ping An,202,2318,HKG
Ping An,202,601318,SSE
ZTE,289,63,SZSE
ZTE,289,763,HKG
Synchrony Financial,2501,SYF,NYSE
Synchrony Financial,2501,SYF.PRA,NYSE
United Rentals,2521,URI,NYSE
Charter Communications,1985,CHTR,NASDAQ
D. R. Horton,2278,DHI,NYSE
Avalonbay Communities,2226,AVB,NYSE
AES,2194,AES,NYSE
AES,2194,AESC,NYSE
T. Rowe Price Group,2502,TROW,NASDAQ
Under Armour,2518,UA,NYSE
McCormick,2410,MKC,NYSE
Constellation Energy,6949,CEG,NASDAQ
Biogen,1536,BIIB,NASDAQ
Akamai Technologies,1765,AKAM,NASDAQ
GE Vernova,6962,GEV,NYSE
Moderna Therapeutics,1752,MRNA,NASDAQ
Astrazeneca,341,AZN,NYSE
Astrazeneca,341,AZN,NASDAQ
Dentsply Sirona,2282,XRAY,NASDAQ
Truist Financial,2514,TFC,NYSE
Truist Financial,2514,TFC.PRI,NYSE
Truist Financial,2514,TFC.PRO,NYSE
Truist Financial,2514,TFC.PRR,NYSE
Sealed Air,2486,SEE,NYSE
Bank of America,811,BAC,NYSE
Bank of America,811,BAC PR B,NYSE
Bank of America,811,BAC PR E,NYSE
Bank of America,811,BAC PR K,NYSE
Bank of America,811,BAC PR L,NYSE
Bank of America,811,BAC PR M,NYSE
Bank of America,811,BAC PR N,NYSE
Bank of America,811,BAC PR O,NYSE
Bank of America,811,BAC PR P,NYSE
Bank of America,811,BAC PR Q,NYSE
Bank of America,811,BAC PR S,NYSE
Bank of America,811,BML PR G,NYSE
Bank of America,811,BML PR H,NYSE
Bank of America,811,BML PR J,NYSE
Bank of America,811,BML PR L,NYSE
Bank of America,811,MER PR K,NYSE
Albemarle,2198,ALB,NYSE
Nucor,2185,NUE,NYSE
Honeywell International,846,HON,NASDAQ
Duke Energy,2294,DUK,NYSE
Parker-Hannifin,2450,PH,NYSE
Transdigm Group,2513,TDG,NYSE
Sherwin-Williams,2488,SHW,NYSE
Keycorp,2382,KEY,NYSE
Caterpillar,1921,CAT,NYSE
Walgreens Boots Alliance,1809,WBA,NASDAQ
Fortune Brands Home & Security,2329,FBHS,NYSE
CF Industries Holdings,2254,CF,NYSE
Baxter International,2230,BAX,NYSE
Las Vegas Sands,2393,LVS,NYSE
MGM Resorts International,2414,MGM,NYSE
Wynn Resorts,2546,WYNN,NASDAQ
A.O. Smith,2217,AOS,NYSE
WEC Energy Group,2537,WEC,NYSE
Rockwell Automation,2479,ROK,NYSE
Harley-Davidson,2346,HOG,NYSE
Tesla,247,TSLA,NASDAQ
Hewlett Packard Enterprise,487,HPE,NYSE
HP,833,HPQ,NYSE
Sempra Energy,2487,SRE,NYSE
Sempra Energy,2487,SREA,NYSE
Illumina,501,ILMN,NASDAQ
DexCom,3088,DXCM,NASDAQ
Realty Income Corporation,2473,O,NYSE
Resmed,2477,RMD,NYSE
Qualcomm,209,QCOM,NASDAQ
Essex Property Trust,2308,ESS,NYSE
Franklin Resources,2332,BEN,NYSE
Franklin Resources,2332,BEN,NASDAQ
Franklin Templeton,6959,BEN,NYSE
Fortinet,2327,FTNT,NASDAQ
Netapp,2427,NTAP,NASDAQ
Intuitive Surgical,1516,ISRG,NASDAQ
Juniper Networks,2379,JNPR,NYSE
Procter & Gamble,639,PG,NYSE
Cintas Corporation,2259,CTAS,NASDAQ
Fifth Third Bancorp,2319,FITB,NASDAQ
Kroger,1813,KR,NYSE
Humana,1913,HUM,NYSE
Yum! Brands,2550,YUM,NYSE
Brown-Forman,2238,BF.A,NYSE
Brown-Forman,2238,BF.B,NYSE
Robert Half International,2478,RHI,NYSE
Meta,87,META,NASDAQ
PPG Industries,2460,PPG,NYSE
Howmet Aerospace,2359,HWM,NYSE
EQT,6955,EQT,NYSE
Wabtec Corporation,2534,WAB,NYSE
PNC Financial Services,2459,PNC,NYSE
PNC Financial Services,2459,PNC.PRP,NYSE
3M,298,MMM,NYSE
Solventum,6979,SOLV,NYSE
Ecolab,2299,ECL,NYSE
DuPont,1780,DD,NYSE
Incyte,2366,INCY,NASDAQ
Analog Devices,331,ADI,NASDAQ
Charles River Laboratories,6948,CRL,NYSE
Evergy,2310,EVRG,NYSE
Cerner Corporation,838,CERN,NASDAQ
H&R Block,2343,HRB,NYSE
Idex Corporation,2362,IEX,NYSE
Packaging Corporation of America,2449,PKG,NYSE
W.W. Grainger,2342,GWW,NYSE
Medtronic,1553,MDT,NYSE
Dayforce,6952,DAY,NYSE
Ameriprise Financial,2212,AMP,NYSE
U.S. Bancorp,2175,UB5,NYSE
U.S. Bancorp,2175,USB PR A,NYSE
U.S. Bancorp,2175,USB PR H,NYSE
U.S. Bancorp,2175,USB PR P,NYSE
U.S. Bancorp,2175,USB PR Q,NYSE
Bio-Techne,6941,TECH,NASDAQ
Pentair,2453,PNR,NYSE
Target,710,TGT,NYSE
Target,710,6161,HKG
Xcel Energy,2547,XEL,NASDAQ
ServiceNow,840,NOW,NYSE
ServiceNow,840,NOW,NASDAQ
Nvidia,184,NVDA,NASDAQ
SVB Financial,2500,SIVB,NASDAQ
Intel,127,INTC,NASDAQ
Palo Alto Networks,623,PANW,NYSE
Agilent Technologies,313,A,NYSE
Advanced Micro Devices,327,AMD,NASDAQ
Arista Networks,2220,ANET,NYSE
Applied Materials,335,4336,HKG
Applied Materials,335,AMAT,NASDAQ
Eli Lilly And Company,434,LLY,NYSE
Elevance Health,1831,ELV,NYSE
Simon Property Group,2489,SPG,NYSE
Simon Property Group,2489,SPG.PRJ,NYSE
Corteva,2273,CTVA,NYSE
CSX,2276,CSX,NASDAQ
Regency Centers Corporation,2474,REG,NASDAQ
Fidelity National Information Services,2318,FIS,NYSE
Intuit,514,INTU,NASDAQ
Google,101,GOOG,NASDAQ
